"filename", "language", "HTML", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\Recipe Website\frontend\src\pages\admin\ManageProductsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 2, 8, 114
"d:\Recipe Website\frontend\src\pages\admin\ManageRecipes.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 6, 73
"d:\Recipe Website\frontend\src\pages\admin\ProductForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 137, 0, 0, 12, 22, 171
"d:\Recipe Website\frontend\src\pages\admin\RecipeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 174, 0, 0, 9, 28, 211
"d:\Recipe Website\frontend\src\pages\admin\SendNewsletterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 12, 22, 148
"d:\Recipe Website\frontend\src\pages\public\AboutPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 120, 0, 0, 9, 14, 143
"d:\Recipe Website\frontend\src\pages\public\AllRecipesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 128, 0, 0, 18, 21, 167
"d:\Recipe Website\frontend\src\pages\public\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 134, 0, 0, 18, 25, 177
"d:\Recipe Website\frontend\src\pages\public\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 8, 96
"d:\Recipe Website\frontend\src\pages\public\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 88, 0, 0, 14, 14, 116
"d:\Recipe Website\frontend\src\pages\public\PrintRecipePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 10, 19, 133
"d:\Recipe Website\frontend\src\pages\public\ProductPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 206, 0, 0, 20, 30, 256
"d:\Recipe Website\frontend\src\pages\public\PurchaseProcessingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 54, 0, 0, 6, 12, 72
"d:\Recipe Website\frontend\src\pages\public\PurchaseRedirect.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 11, 4, 36
"d:\Recipe Website\frontend\src\pages\public\PurchaseSuccessPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 0, 12, 19, 127
"d:\Recipe Website\frontend\src\pages\public\RecipePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 483, 0, 0, 11, 16, 510
"d:\Recipe Website\frontend\src\pages\public\ShopPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 16, 15, 129
"d:\Recipe Website\frontend\src\pages\public\SignupPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 6, 8, 97
"d:\Recipe Website\frontend\src\pages\public\SubscribePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 0, 7, 19, 149
"d:\Recipe Website\frontend\src\pages\public\UnsubscribePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 3, 12, 98
"d:\Recipe Website\frontend\src\pages\user\CartPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 230, 0, 0, 3, 35, 268
"d:\Recipe Website\frontend\src\pages\user\FavouritesPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 6, 47
"d:\Recipe Website\frontend\src\pages\user\MyOrdersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 170, 0, 0, 102, 31, 303
"d:\Recipe Website\frontend\src\print.css", "PostCSS", 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"d:\Recipe Website\frontend\src\routes\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"d:\Recipe Website\frontend\src\routes\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"d:\Recipe Website\frontend\src\tiptap.css", "PostCSS", 0, 0, 0, 31, 0, 0, 0, 2, 5, 38
"d:\Recipe Website\frontend\src\tiptap\FontSize.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 5, 6, 58
"d:\Recipe Website\frontend\src\utils\cloudinaryUpload.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Recipe Website\frontend\tailwind.config.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 1, 1, 31
"d:\Recipe Website\frontend\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\Recipe Website\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 17, 2842, 9088, 209, 5751, 2, 7, 1436, 1463, 20815
